Ano 2015;;;
;;;
Matricula;Mês/Ano;Lançamento;Valor
4336;2;VR;26,7
4336;2;AM;182
4997;2;VT;135
4997;2;VR;26,7
4997;2;AM;182
4997;2;VT;135
4997;2;VR;26,7
4997;2;AM;182
4336;2;VR;26,7
4336;2;AM;182
3090;3;VR;26,7
3090;3;AM;182
3090;3;AO;94,6
3810;3;VT;270
3810;3;VR;26,7
3810;3;AM;182
4336;3;VR;26,7
4336;3;AM;182
4951;3;VT;270
4951;3;VR;26,7
4997;3;VT;135
4997;3;VR;26,7
4997;3;AM;182
4951;3;VT;270
4951;3;VR;26,7
3810;3;VT;270
3810;3;VR;26,7
3810;3;AM;182
3090;3;VR;26,7
3090;3;AM;182
3090;3;AO;94,6
3090;4;VR;26,7
3090;4;AM;182
3090;4;AO;94,6
3810;4;VT;270
3810;4;VR;26,7
3810;4;AM;182
4336;4;VR;26,7
4336;4;AM;182
4951;4;VT;270
4951;4;VR;26,7
4997;4;VT;135
4997;4;VR;26,7
4997;4;AM;182
3090;5;VR;26,7
3090;5;AM;182
3090;5;AO;94,6
3810;5;VT;270
3810;5;VR;26,7
3810;5;AM;182
4336;5;VR;26,7
4336;5;AM;182
4542;5;VT;135
4542;5;VR;26,7
4542;5;AM;182
4542;5;AO;94,6
4951;5;VT;270
4951;5;VR;26,7
4997;5;VT;135
4997;5;VR;26,7
4997;5;AM;182
4542;5;VT;135
4542;5;VR;26,7
4542;5;AM;182
4542;5;AO;94,6
3090;6;VR;26,7
3090;6;AM;182
3090;6;AO;94,6
3810;6;VT;270
3810;6;VR;26,7
3810;6;AM;182
4336;6;VR;26,7
4336;6;AM;182
4542;6;VT;135
4542;6;VR;26,7
4542;6;AM;182
4542;6;AO;94,6
4951;6;VT;270
4951;6;VR;26,7
4997;6;VT;135
4997;6;VR;26,7
4997;6;AM;182
3090;7;VR;26,7
3090;7;AM;182
3090;7;AO;94,6
3810;7;VT;270
3810;7;VR;26,7
3810;7;AM;182
4336;7;VR;26,7
4336;7;AM;182
4542;7;VT;135
4542;7;VR;26,7
4542;7;AM;182
4542;7;AO;94,6
4951;7;VT;270
4951;7;VR;26,7
4997;7;VT;135
4997;7;VR;26,7
4997;7;AM;182
3090;8;VR;26,7
3090;8;AM;182
3090;8;AO;94,6
3810;8;VT;270
3810;8;VR;26,7
3810;8;AM;182
4336;8;VR;26,7
4336;8;AM;182
4542;8;VT;135
4542;8;VR;26,7
4542;8;AM;182
4542;8;AO;94,6
4951;8;VT;270
4951;8;VR;26,7
4997;8;VT;135
4997;8;VR;26,7
4997;8;AM;182
5039;8;VT;270
5039;8;VR;26,7
5039;8;VT;270
5039;8;VR;26,7
3090;9;VR;26,7
3090;9;AM;182
3090;9;AO;94,6
3136;9;VR;26,7
3136;9;AM;182
3136;9;AO;94,6
3810;9;VT;270
3810;9;VR;26,7
3810;9;AM;182
4336;9;VR;26,7
4336;9;AM;182
4542;9;VT;135
4542;9;VR;26,7
4542;9;AM;182
4542;9;AO;94,6
4951;9;VT;270
4951;9;VR;26,7
4997;9;VT;135
4997;9;VR;26,7
4997;9;AM;182
5039;9;VT;270
5039;9;VR;26,7
3136;9;VR;26,7
3136;9;AM;182
3136;9;AO;94,6
3090;10;VR;26,7
3090;10;AM;182
3090;10;AO;94,6
3136;10;VR;26,7
3136;10;AM;182
3136;10;AO;94,6
3810;10;VT;270
3810;10;VR;26,7
3810;10;AM;182
4118;10;VT;270
4118;10;VR;26,7
4118;10;AM;182
4336;10;VR;26,7
4336;10;AM;182
4542;10;VT;135
4542;10;VR;26,7
4542;10;AM;182
4542;10;AO;94,6
4951;10;VT;270
4951;10;VR;26,7
4997;10;VT;135
4997;10;VR;26,7
4997;10;AM;182
5039;10;VT;270
5039;10;VR;26,7
4118;10;VT;270
4118;10;VR;26,7
4118;10;AM;182
3090;11;VR;26,7
3090;11;AM;182
3090;11;AO;94,6
3136;11;VR;26,7
3136;11;AM;182
3136;11;AO;94,6
3233;11;VT;135
3233;11;VR;26,7
3694;11;VT;270
3694;11;VR;26,7
3694;11;AM;182
3746;11;VT;135
3746;11;VR;26,7
3746;11;AM;182
3810;11;VT;270
3810;11;VR;26,7
3810;11;AM;182
4118;11;VT;270
4118;11;VR;26,7
4118;11;AM;182
4336;11;VR;26,7
4336;11;AM;182
4542;11;VT;135
4542;11;VR;26,7
4542;11;AM;182
4542;11;AO;94,6
4951;11;VT;270
4951;11;VR;26,7
4997;11;VT;135
4997;11;VR;26,7
4997;11;AM;182
5039;11;VT;270
5039;11;VR;26,7
3694;11;VT;270
3694;11;VR;26,7
3694;11;AM;182
3746;11;VT;135
3746;11;VR;26,7
3746;11;AM;182
3233;11;VT;135
3233;11;VR;26,7
3023;12;VT;135
3023;12;VR;26,7
3023;12;AM;182
3090;12;VR;26,7
3090;12;AM;182
3090;12;AO;94,6
3136;12;VR;26,7
3136;12;AM;182
3136;12;AO;94,6
3233;12;VT;135
3233;12;VR;26,7
3521;12;VT;135
3521;12;VR;26,7
3694;12;VT;270
3694;12;VR;26,7
3694;12;AM;182
3746;12;VT;135
3746;12;VR;26,7
3746;12;AM;182
3810;12;VT;270
3810;12;VR;26,7
3810;12;AM;182
4118;12;VT;270
4118;12;VR;26,7
4118;12;AM;182
4336;12;VR;26,7
4336;12;AM;182
4542;12;VT;135
4542;12;VR;26,7
4542;12;AM;182
4542;12;AO;94,6
4951;12;VT;270
4951;12;VR;26,7
4997;12;VT;135
4997;12;VR;26,7
4997;12;AM;182
5039;12;VT;270
5039;12;VR;26,7
3521;12;VT;135
3521;12;VR;26,7
3023;12;VT;135
3023;12;VR;26,7
3023;12;AM;182
