Ano;Matrícula;Avaliação
31/12/2018;4997;3,5
31/12/2018;4336;4
31/12/2018;4951;5
31/12/2018;3810;4,5
31/12/2018;4862;4
31/12/2018;4542;2,5
31/12/2018;5039;3
31/12/2018;3136;3,5
31/12/2018;4118;4
31/12/2018;3694;4,5
31/12/2018;3233;3
31/12/2018;3521;4,5
31/12/2018;3401;4,5
31/12/2018;4373;4,5
31/12/2018;3838;5
31/12/2018;3053;2,5
31/12/2018;3582;4,5
31/12/2018;4503;5
31/12/2018;4942;5
31/12/2018;3293;4,5
31/12/2018;4549;5
31/12/2018;3721;5
31/12/2018;3877;4,5
31/12/2018;3253;4,5
31/12/2018;4679;4,5
31/12/2018;3926;5
31/12/2018;3563;4
31/12/2018;5053;3,5
31/12/2018;4670;2
31/12/2018;4662;2,5
31/12/2018;4236;3,5
31/12/2018;3389;4,5
31/12/2018;4806;2
31/12/2018;4472;2
31/12/2018;3944;4,5
31/12/2018;4170;5
31/12/2018;3748;5
31/12/2018;3124;2,5
31/12/2018;3171;3,5
31/12/2018;3280;2,5
31/12/2018;3462;2,5
31/12/2018;3571;5
31/12/2018;4342;4,5
31/12/2018;4483;3
31/12/2018;3164;2,5
31/12/2018;4988;3,5
31/12/2018;5059;2
31/12/2018;3714;5
31/12/2018;3971;4
31/12/2018;3686;4,5
31/12/2018;3483;5
31/12/2018;4993;4,5
31/12/2018;3132;4,5
31/12/2018;3534;3
31/12/2018;4751;4,5
31/12/2018;5070;3,5
31/12/2018;3237;2,5
31/12/2018;3495;2,5
31/12/2018;3716;5
31/12/2018;3374;5
31/12/2018;3683;5
31/12/2018;5028;2,5
31/12/2018;4474;5
31/12/2018;4584;4,5
31/12/2018;4219;4,5
31/12/2018;4067;5
